user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
SH_ER_050417_Refined_17	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	69.11	11	0.771781729054	N/A
BI_ER_161216_Refined_34	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	80.79	11	0.771740255696	N/A
BH_ER_050417_Refined_11	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	94.8	11	0.771600209455	N/A
BH_ER_070217_Refined_68	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	46.35	11	0.771234772252	N/A
BH_ER_050417_Refined_12	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	91.53	11	0.771226945181	N/A
BH_ER_070616_Refined_40	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	68.06	11	0.771125190621	N/A
BH_ER_070217_Refined_25	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	92.14	11	0.770983148243	N/A
BH_ER_060416_Refined_33	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	95.83	11	0.770805869531	N/A
BH_ER_110816_Refined_11	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	89.88	11	0.770789086063	N/A
CB_ER_040417_Refined_37	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	87.38	11	0.770118815374	N/A
BH_ER_140616_Refined_15	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	54.03	11	0.767602619272	N/A
SH_ER_161216_Refined_55	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	52.18	11	0.765003806533	N/A
BH_ER_070616_Refined_36	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	93.61	11	0.762995705831	N/A
SH_ER_050416_Refined_28	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	93.55	11	0.762821952248	N/A
SH_ER_070217_Refined_14	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA10347;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	84.09	11	0.794312157208	N/A
SH_ER_161216_Refined_54	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA10347;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	85.14	11	0.792143135566	N/A
BH_ER_050617_Refined_8	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	72.68	11	0.75299481768	N/A
CB_ER_040417_Refined_38	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	62.56	11	0.750280120519	N/A
SH_ER_050417_Refined_16	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__SZUA-35;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	59.42	11	0.847650278537	N/A
BH_ER_140616_Refined_51	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__SZUA-35;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003231975.1	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__SZUA-35;g__SZUA-35;s__SZUA-35 sp003231975	75.86	0.08	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	93.79	11	0.845607571145	N/A
SH_ER_140616_Refined_18	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__SZUA-35;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	87.4	11	0.83264490492	N/A
SH_ER_140616_Refined_19	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__SZUA-35;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	75.83	11	0.831440531007	N/A
CB_ER_080416_Refined_63	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__SZUA-35;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	83.25	11	0.820469596808	N/A
BH_ER_060416_Refined_80	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__SZUA-35;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	90.73	11	0.819187415985	N/A
BH_ER_050617_Refined_68	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__SZUA-47;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	74.66	11	0.756297330444	N/A
BI_ER_050417_Refined_35	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	79.76	11	0.750350976687	N/A
BH_ER_161216_Refined_56	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	66.51	11	0.8725512306	N/A
SH_ER_061016_Refined_10	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10;s__	Placement	taxonomic classification fully defined by topology	GCA_002172625.1, s__SW10 sp002172625, 95.0, 77.17, 0.07; GCA_002420315.1, s__SW10 sp002420315, 95.0, 76.98, 0.08; GCA_002323895.1, s__SW10 sp002323895, 95.0, 76.76, 0.08	68.1	11	0.961364061871	N/A
BI_ER_161216_Refined_31	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10;s__	Placement	taxonomic classification fully defined by topology	N/A	50.83	11	0.959365038196	N/A
BI_ER_070616_Refined_41	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10;s__	Placement	taxonomic classification fully defined by topology	GCA_002729295.1, s__SW10 sp002729295, 95.0, 77.88, 0.08; GCA_002172625.1, s__SW10 sp002172625, 95.0, 77.48, 0.09; GCA_002323895.1, s__SW10 sp002323895, 95.0, 76.81, 0.08	65.85	11	0.959344220001	N/A
CB_ER_080416_Refined_9	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	57.42	11	0.869262282635	N/A
CB_ER_070716_Refined_15	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	68.55	11	0.867024092511	N/A
SH_ER_161216_Refined_35	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	45.28	11	0.866676582627	N/A
CB_ER_130617_Refined_33	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	58.08	11	0.866320678629	N/A
BI_ER_070616_Refined_43	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	51.07	11	0.865417507259	N/A
SH_ER_050617_Refined_8	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	49.29	11	0.865040225612	N/A
BH_ER_140616_Refined_20	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	47.66	11	0.864772904982	N/A
SH_ER_050617_Refined_32	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	80.67	11	0.864580723801	N/A
SH_ER_161216_Refined_9	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	76.29	11	0.863797614656	N/A
BH_ER_161216_Refined_38	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	72.92	11	0.86347511	N/A
BI_ER_050417_Refined_23	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	55.85	11	0.923046380216	N/A
SH_ER_061016_Refined_23	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	78.29	11	0.921095753579	N/A
BH_ER_161216_Refined_43	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	91.15	11	0.920563153939	N/A
SH_ER_140616_Refined_22	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	77.86	11	0.920356339369	N/A
CB_ER_130617_Refined_7	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	72.9	11	0.91994743258	N/A
CB_ER_040417_Refined_45	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	82.54	11	0.91992301746	N/A
CB_ER_070716_Refined_11	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	70.3	11	0.919609447299	N/A
SH_ER_050617_Refined_7	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	92.06	11	0.919534846232	N/A
BI_ER_161216_Refined_5	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	86.81	11	0.918787203346	N/A
BH_ER_050417_Refined_81	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	61.81	11	0.918272405192	N/A
SH_ER_050617_Refined_9	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	91.67	11	0.917531174093	N/A
CB_ER_080416_Refined_47	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	93.45	11	0.916988507429	N/A
BI_ER_070616_Refined_20	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	93.53	11	0.916924358939	N/A
